ID,Name,Script,ImgID,Left/Right
0,???,<TriplePeriod>?,0,TRUE
1,???,난<TriplePeriod> 어<TriplePeriod> 여긴<TriplePeriod>?,0,TRUE
2,???,(아무것도 기억나지 않는다<TriplePeriod> 무슨 상황인거지?),0,TRUE
3,???,저건<TriplePeriod>?,0,TRUE
4,???,안녕하세요<TriplePeriod>? 저기 저<TriplePeriod> 아무 기억이 안나는데<Comma> 여긴 어디인가요?,0,TRUE
5,???,안녕하세요. 당연합니다. 당신은 죽었으니까요.,1,FALSE
6,???,네?,0,TRUE
7,나엘 카르시스,아. 제 소개가 늦었군요. 저는 <SingleQuote>나엘 카르시스(Nael Karsis)</SingleQuote>라고 합니다.,1,FALSE
8,나엘 카르시스,그리고 여기 옆에 있는 AI는 <SingleQuote>미스터 C(Mr.C)</SingleQuote>라고 명명되어 있습니다.,1,FALSE
9,???,(명명되어있다고<TriplePeriod>?),0,TRUE
10,미스터 C,안녕하세요. 저는 자율형 AI<Comma> <SingleQuote>미스터 C</SingleQuote>입니다.,2,FALSE
11,???,(부활이라고?!),0,TRUE
12,나엘 카르시스,아<Comma> 참고로 당신도 그렇습니다.,1,FALSE
13,???,네?! 제가요? 저는 죽은 기억이 없는데<Comma> 무슨 말씀이세요?,0,TRUE
14,나엘 카르시스,일단<Comma> 당신은 <SingleQuote>베일(VAEL)</SingleQuote>로 명명되어 있습니다. 전에 쓰던 이름은 저희도 모르고요.,1,FALSE
15,빌,자<TriplePeriod>잠시만요. 전 이 상황이 전혀 이해가 안됩니다! 그<TriplePeriod>,0,TRUE
16,나엘 카르시스,괜찮습니다. 당연합니다. 예상도 했고<Comma> 간단하게 설명드리겠습니다.,1,FALSE
17,나엘 카르시스,당신은 이미 죽었지만<Comma> 제가 되살린 것입니다. <SingleQuote>미스터 C</SingleQuote>처럼 말이죠. 이는 지금 시대에서는 크게 이상하지 않습니다. ,1,FALSE
18,미스터 C,과거 특이한 불치병이 나타났고<Comma> 이 질병을 가진 인간은 짧은 시간에 크게 노화했으며<Comma> 수명은 약 10년 밖에 되지 않았습니다.,2,FALSE
19,미스터 C,하지만<Comma> 이와 AI 프로토콜과 연결해 신호와 충격을 가하면 기억이 지워진 상태지만<Comma> 다시 살아있는 뇌처럼 활동하려하며 뛰어난 판단과 이해 능력 등을 가집니다.,2,FALSE
20,빌,그럼 <SingleQuote>미스터 C</SingleQuote>도...?,0,TRUE
21,나엘 카르시스,그래서 이를 이용해 <DoubleQuote>대전쟁 자율형 AI(WAAI)</DoubleQuote>를 개발해 여러 국가와 단체는 전쟁을 진행했지만<Comma> 결국 인간의 욕망의 결과라고 해야할까요<TriplePeriod>,1,FALSE
22,미스터 C,<DoubleQuote>대전쟁 자율형 AI</DoubleQuote>가 생겼지만<Comma> 이들은 지식을 습득 및 발전시킬 수 있었습니다. 이들은 크게 성장했고 결국 <SingleQuote>AI 국가</SingleQuote>를 건국해 인간을 지배하에 두려고 하고 있습니다.,2,FALSE
23,미스터 C,목적은 인간보다 훨씬 효율적이고<Comma> 자유적이며<Comma> 번영하는 세계를 만들겠다라는 소문이 있지만 확실하진 않습니다.,2,FALSE
24,나엘 카르시스,프로토콜을 가동할 때<Comma> 인간의 유전자<Comma> 홍체<Comma> 키<Comma> 말투 등 여러가지 조건을 넣어 주인을 정해 이를 제어할 수 있습니다.,1,FALSE
25,빌,음<TriplePeriod> 그렇다면 저도 당신이 조종하고 있는 겁니까?,0,TRUE
26,나엘 카르시스,그렇지 않습니다. 당신은 특별하니까요. 당신은 <DoubleQuote>대전쟁 인간형 AI</DoubleQuote>입니다. <SingleQuote>미스터 C</SingleQuote>와 같은 다른 프로토콜들과 달리 감정도 느낄 수 있죠. 하지만<Comma> 제어가 불가능하고 아직 미지의 것이 많습니다. 그래서 당신 이름이 <SingleQuote>Vail(베일)</SingleQuote>과 비슷한 단어로 지었습니다.,1,FALSE
27,빌,그렇다면 통제도 불가능한 저를 되살린 이유가 무엇이죠?,0,TRUE
28,나엘 카르시스,부탁하려고요. 앞으로 조금입니다. 이 <SingleQuote>AI 국가</SingleQuote>를 파괴하고 다시 인간이 재건할 수 있는 기회가.,1,FALSE
29,나엘 카르시스,부탁드립니다. 여긴 <SingleQuote>AI 국가</SingleQuote> 내에서도 가장 중요하다고 알려진 메인 타워의 근처 지하 은신처입니다. 당신의 기억을 되살리고<Comma> 인간으로 돌아갈 수 있도록 저희도 도와드릴테니<Comma> 이 타워 꼭대기에 <SingleQuote>레온(REON)</SingleQuote>를 파괴해 <SingleQuote>AI 국가</SingleQuote>의 메인 프로토콜을 제거해주세요.,1,FALSE
29,나엘 카르시스,<SingleQuote>레온</SingleQuote>의 메인 프로토콜에 사용된 중심 핵이라면 인간으로 돌아갈 데이터 칩이 존재할 겁니다. 그러니 부디<TriplePeriod>,1,FALSE
