ID,Name,Script,ImgID,Left/Right
0,???,...?,Player_Normal,TRUE
1,???,난... 어... 여긴...?,Player_Normal,TRUE
2,???,(아무것도 기억나지 않는다... 무슨 상황인거지?),Player_Normal,TRUE
3,???,저건...?,Player_Normal,TRUE
4,???,안녕하세요...? 저기 저... 아무 기억이 안나는데<c> 여긴 어디인가요?,Player_Normal,TRUE
5,???,안녕하세요. 당연합니다. 당신은 죽었으니까요.,Karsis_Normal,FALSE
6,???,네?,Player_Normal,TRUE
7,<n>(000),아. 제 소개가 늦었군요. 저는 <n>(000)라고 합니다.,Karsis_Normal,FALSE
8,<n>(000),그리고 여기 옆에 있는 AI는 <n>(002)라고 명명되어 있습니다.,Karsis_Normal,FALSE
9,???,(명명되어있다고...?),Player_Normal,TRUE
10,<n>(002),안녕하세요. 저는 자율형 AI<c> <n>(002)입니다.,Mr.C_Normal,FALSE
11,???,(부활이라고?!),Player_Normal,TRUE
12,<n>(000),아<c> 참고로 당신도 그렇습니다.,Karsis_Normal,FALSE
13,???,네?! 제가요? 저는 죽은 기억이 없는데<c> 무슨 말씀이세요?,Player_Normal,TRUE
14,<n>(000),일단<c> 당신은 <n>(003)로 명명되어 있습니다.<el>전에 쓰던 이름은 저희도 모르고요.,Karsis_Normal,FALSE
15,<n>(003),자...잠시만요. 전 이 상황이 전혀 이해가 안됩니다! 그...,Player_Normal,TRUE
16,<n>(000),괜찮습니다. 당연합니다. 예상도 했고<c> 간단하게 설명드리겠습니다.,Karsis_Normal,FALSE
17,<n>(000),당신은 이미 죽었지만<c> 제가 되살린 것입니다.<el><n>(002)처럼 말이죠.<el>이는 지금 시대에서는 크게 이상하지 않습니다. ,Karsis_Normal,FALSE
18,<n>(002),과거 특이한 불치병이 나타났고<c><el>이 질병을 가진 인간은 짧은 시간에 크게 노화했으며<c> 수명은 약 10년 밖에 되지 않았습니다.,Mr.C_Normal,FALSE
19,<n>(002),하지만<c> 이와 AI 프로토콜과 연결해 신호와 충격을 가하면 기억이 지워진 상태지만<c><el>다시 살아있는 뇌처럼 활동하려하며 뛰어난 판단과 이해 능력 등을 가집니다.,Mr.C_Normal,FALSE
20,<n>(003),그럼 <n>(002)도...?,Player_Normal,TRUE
21,<n>(000),그래서 이를 이용해 <n>(004)를 개발해<el>여러 국가와 단체는 전쟁을 진행했지만<c> 결국 인간의 욕망의 결과라고 해야할까요...,Karsis_Normal,FALSE
22,<n>(002),<n>(004)가 생겼지만<c> 이들은 지식을 습득 및 발전시킬 수 있었습니다.<el>이들은 크게 성장했고 결국 AI 국가인 <n>(001)를 건국해 인간을 지배하에 두려고 하고 있습니다.,Mr.C_Normal,FALSE
23,<n>(002),목적은 인간보다 훨씬 효율적이고<c> 자유적이며<c> 번영하는 세계를<el>만들겠다라는 소문이 있지만 확실하진 않습니다.,Mr.C_Normal,FALSE
24,<n>(000),프로토콜을 가동할 때<c> 인간의 유전자<c> 홍체<c> 키<c> 말투 등 여러가지 조건을 넣어 주인을 정해 이를 제어할 수 있습니다.,Karsis_Normal,FALSE
25,<n>(003),음... 그렇다면 저도 당신이 조종하고 있는 겁니까?,Player_Normal,TRUE
26,<n>(000),그렇지 않습니다. 당신은 특별하니까요.<el>당신은 <n>(005)입니다. <n>(002)와 같은 다른 프로토콜들과 달리 감정도 느낄 수 있죠.<el>하지만<c> 제어가 불가능하고 아직 미지의 것이 많습니다. 그래서 당신 이름이 <n>(006)과 비슷한 단어로 지었습니다.,Karsis_Normal,FALSE
27,<n>(003),그렇다면 통제도 불가능한 저를 되살린 이유가 무엇이죠?,Player_Normal,TRUE
28,<n>(000),부탁하려고요. 앞으로 조금입니다.<el>이 <n>(001)를 파괴하고 다시 인간이 재건할 수 있는 기회가.,Karsis_Normal,FALSE
29,<n>(000),부탁드립니다. 여긴 <n>(001) 내에서도 가장 중요하다고 알려진 메인 타워의 근처 지하 은신처입니다.<el>당신의 기억을 되살리고<c> 인간으로 돌아갈 수 있도록 저희도 도와드릴테니<c><el>이 타워 꼭대기에 <n>(007)를 파괴해 <n>(001)의 메인 프로토콜을 제거해주세요.,Karsis_Normal,FALSE
29,<n>(000),<n>(007)의 메인 프로토콜에 사용된 중심 핵이라면 인간으로 돌아갈 데이터 칩이 존재할 겁니다.<el>그러니 부디...,Karsis_Normal,FALSE
